Company,Address,Borough,Postcode,Longitude,Latitude
Sainsburys,Walters Yard,Bromley,BR11TP,0.014457,51.4066
Sainsburys,181 High Street,Beckenham,BR31AH,-0.030671,51.4059
Sainsburys,143-165 High Street,West Wickham,BR40LU,-0.021725,51.377
Sainsburys,73 High Street,Chislehurst,BR75AG,0.066519,51.4187
Sainsburys,Trafalgar Way,Waddon,CR04XT,-0.117763,51.3757
Sainsburys,130 Addington Road,Selsdon/South Croydon,CR28LA,-0.06281,51.3423
Sainsburys,Stadium Way,Crayford,DA14HW,0.178974,51.4491
Sainsburys,70 Broadway,Bexleyheath,DA67DF,0.148856,51.4562
Sainsburys,1 Cambridge Heath Road,Whitechapel,E15SD,-0.058612,51.5211
Sainsburys,112 High Street,Walthamstow,E177JY,-0.027168,51.5825
Sainsburys,176 George Lane,South Woodford,E181AY,0.024062,51.5935
Sainsburys,13 Hall Lane,Chingford Mount,E48HH,-0.0193,51.6165
Sainsburys,11 Walthamstow Avenue,South Chingford,E48ST,-0.020871,51.6041
Sainsburys,1 Claps Gate Lane,Beckton,E66JF,0.065932,51.5214
Sainsburys,25 Dalston Cross Shopping Centre,Kingsland,E82LX,-0.073294,51.5476
Sainsburys,3 Crown Road,Southbury,EN11TH,-0.057697,51.6519
Sainsburys,66 East Barnet Road,New Barnet,EN48RQ,-0.171741,51.6494
Sainsburys,360 Ealing Road,Alperton,HA01PF,-0.303353,51.5387
Sainsburys,1 Nash Way,Kenton,HA30JA,-0.315187,51.5814
Sainsburys,Long Drive,South Ruislip,HA40HQ,-0.396168,51.557
Sainsburys,12 Barters Walk,Pinner,HA55LU,-0.380693,51.5934
Sainsburys,1 The Broadway,Stanmore,HA74DA,-0.31095,51.617
Sainsburys,Broadwalk Shopping Centre,Edgware,HA87BQ,-0.275753,51.6118
Sainsburys,55 Roden Street,Ilford,IG12AA,0.069916,51.5565
Sainsburys,King George Avenue,Barkingside,IG27SH,0.087337,51.5815
Sainsburys,66-100 Tanners Lane,Barkingside,IG61QE,0.081748,51.5884
Sainsburys,1 Sury Basin,Kingston Upon Thames,KT25NZ,-0.302996,51.4157
Sainsburys,50-58 Victoria Road,Surbiton,KT64NG,-0.307716,51.3914
Sainsburys,31-41 Liverpool Road,Angel,N10RW,-0.107514,51.5342
Sainsburys,836 High Road,North Finchley,N129RE,-0.176101,51.6179
Sainsburys,28-48 Northumberland Park,Tottenham,N170TX,-0.0665,51.605
Sainsburys,681 Green Lanes,Winchmore Hill,N213RS,-0.09841,51.6294
Sainsburys,Williamson Road,Harringay,N41UJ,-0.095522,51.5772
Sainsburys,High Road,Willesden Green,NW102TD,-0.225532,51.5468
Sainsburys,17-21 Camden Road,Camden Town,NW19LJ,-0.140824,51.5405
Sainsburys,02 Centre,Frognal,NW36LU,-0.182085,51.548
Sainsburys,Unit 4 Hyde Estate Road,Colindale,NW96JX,-0.243946,51.5818
Sainsburys,101-105 High Street,Hornchurch,RM111TX,0.218214,51.5631
Sainsburys,1 The Brewery,Romford,RM11AU,0.179991,51.5749
Sainsburys,97-131 High Road,Chadwell Heath,RM66PB,0.13452,51.5719
Sainsburys,55 Bugsby'S Way,Charlton,SE100QJ,0.016656,51.4896
Sainsburys,14 Burnt Ash Road,Lee,SE128PZ,0.010177,51.4561
Sainsburys,Unit 33 Lewisham Centre,Lewisham,SE137EP,-0.012164,51.4617
Sainsburys,263D New Cross Road,New Cross Gate,SE145UQ,-0.04229,51.4772
Sainsburys,25 Calderwood Street,Woolwich,SE186QW,0.063591,51.4911
